state,year,sector,total_sales_mwh,total_revenue_dollar,avg_confidence_score,n_records,n_missing_price,n_missing_sales,n_missing_revenue,n_high_price,n_low_price,n_price_mismatch,weighted_price_per_kwh
AK,2024,commercial,2603674.0,561565800.0,90.83333333333333,12,1,0,0,7,0,0,0.21568207079688165
AK,2024,industrial,1372235.0,264999200.0,92.85714285714286,7,1,0,0,1,0,0,0.19311502767383137
AL,2024,commercial,22844671.0,3116407200.0,98.93617021276596,47,1,0,0,1,0,0,0.13641725021997472
AL,2024,industrial,31762241.0,2303895100.0,98.33333333333333,42,1,0,0,0,2,0,0.0725356595587824
AR,2024,commercial,11740906.0,1204132500.0,98.66666666666667,30,1,0,0,0,0,0,0.10255873780098401
AR,2024,industrial,19508438.0,1289557000.0,98.21428571428571,28,1,0,0,1,0,0,0.06610252445634038
AZ,2024,commercial,35361350.0,4359236500.0,97.88461538461539,26,1,0,0,0,1,0,0.12327686867158635
AZ,2024,industrial,14297880.0,1129681100.0,95.88235294117646,17,1,0,0,0,2,0,0.07901039175038538
CA,2024,commercial,67882212.0,15856758500.0,94.88372093023256,43,1,0,0,15,2,0,0.23359224799568995
CA,2024,industrial,26177936.0,5413613600.0,95.0,31,1,0,0,10,1,0,0.20680062782642605
CO,2024,commercial,21046959.0,2464342200.0,98.29268292682927,41,1,0,0,0,2,0,0.11708780351593787
CO,2024,industrial,14839871.0,1281368300.0,98.2258064516129,31,1,0,0,0,1,0,0.08634632336089713
CT,2024,commercial,3114050.0,659266400.0,92.5,12,1,0,0,5,0,0,0.2117070695717795
CT,2024,industrial,672056.0,93296400.0,92.85714285714286,7,1,0,0,1,0,0,0.13882236004142512
DC,2024,commercial,1178035.0,235149700.0,95.0,3,0,0,0,0,1,0,0.19961181119406468
DE,2024,commercial,1643369.0,253105400.0,96.0,10,1,0,0,0,0,0,0.15401617044011418
DE,2024,industrial,953304.0,109099300.0,95.0,8,1,0,0,0,0,0,0.1144433465085639
FL,2024,commercial,99195099.0,10902622900.0,98.33333333333333,42,1,0,0,3,0,0,0.10991090295701
FL,2024,industrial,17457348.0,1483602600.0,98.0,25,1,0,0,1,0,0,0.08498442031401333
GA,2024,commercial,55169813.0,5994712300.0,98.66666666666667,60,1,0,0,1,2,0,0.10865928256816822
GA,2024,industrial,32616660.0,2352084300.0,97.75510204081633,49,1,0,0,1,4,0,0.07211297232763869
HI,2024,commercial,2768372.0,1076030200.0,91.25,8,0,0,0,7,0,0,0.3886869972677082
HI,2024,industrial,3461845.0,1181687400.0,90.0,4,0,0,0,4,0,0,0.34134613190365254
IA,2024,commercial,12809856.0,1309506100.0,97.82608695652173,23,1,0,0,1,0,0,0.1022264496962339
IA,2024,industrial,27646583.0,1881132400.0,98.26086956521739,23,1,0,0,0,0,0,0.06804213019742801
ID,2024,commercial,6963670.0,638525400.0,97.14285714285714,14,1,0,0,0,0,0,0.09169380513436162
ID,2024,industrial,9573616.0,736518100.0,94.58333333333333,12,1,0,0,1,1,0,0.07693207039012219
IL,2024,commercial,14854336.0,1841682700.0,98.46153846153847,26,1,0,0,0,0,0,0.12398283571880965
IL,2024,industrial,5410607.0,450646200.0,97.6086956521739,23,1,0,0,0,1,0,0.08328939802872395
